Timestamp,SensorValue
1764123704.6309097,10
1764123705.6362138,52
1764123706.6409042,40
1764123707.6449907,29
1764123708.648282,16
1764123709.6497834,7
1764123710.6557934,43
1764123711.6603055,38
1764123712.664717,34
1764123713.667889,15
1764123714.6710181,16
1764123715.6754947,35
1764123716.6798077,34
1764123717.6852984,55
1764123718.6894534,31
1764123719.6938038,33
1764123720.6980035,34
1764123721.702284,33
1764123722.7065926,33
1764123723.7109065,33
1764123724.714941,32
1764123725.719358,33
1764123726.7236564,35
1764123727.727972,33
1764123728.7322788,33
1764123729.7363782,33
1764123730.7406642,32
1764123731.7449923,33
1764123732.7491245,32
1764123733.7533462,31
1764123734.7574027,33
1764123735.7617118,33
1764123736.7660027,32
1764123737.7700243,31
1764123738.7741537,31
1764123739.7783787,31
1764123740.782777,35
1764123741.7870235,34
1764123742.7912872,31
1764123743.7954626,31
1764123744.7996252,32
1764123745.8037095,33
1764123746.8079338,32
1764123747.8123498,33
1764123748.8164833,33
1764123749.820717,33
1764123750.8248734,33
1764123751.8291922,33
1764123752.833371,32
1764123753.8376873,33
1764123754.8418589,33
1764123755.8460631,33
1764123756.8503926,33
1764123757.8547382,33
1764123758.8588524,33
1764123759.8631468,33
1764123760.8674588,33
1764123761.8716762,32
1764123762.875918,33
1764123763.8801029,33
1764123764.8841527,30
1764123765.8884032,32
1764123766.8926685,33
1764123767.896853,33
1764123768.9012947,34
1764123769.9059548,35
1764123770.9090204,19
1764123771.9124088,17
1764123772.9156213,17
1764123773.919005,18
1764123774.9225132,18
1764123775.9257329,17
1764123776.9290192,18
1764123777.9324188,17
1764123778.9357374,18
1764123779.9391525,17
1764123780.942262,17
1764123781.9456007,17
1764123782.948895,17
1764123783.9522865,16
1764123784.9555168,16
1764123785.95879,18
1764123786.9620843,17
1764123788.012578,794
1764123789.0147407,17
1764123790.0182307,18
1764123791.0214648,17
1764123792.0249183,18
1764123793.0282984,18
1764123794.0316474,18
1764123795.0820372,794
1764123796.084286,17
1764123797.087715,17
1764123798.0910015,19
1764123799.0944843,19
1764123800.097871,19
1764123801.1012032,16
1764123802.1045036,17
1764123803.1078281,17
1764123804.1111724,18
1764123805.16165,794
1764123806.1639907,18
1764123807.168226,34
1764123808.172654,35
1764123809.1768079,29
1764123810.1804008,26
1764123811.1846132,29
1764123812.1888494,33
1764123813.193107,35
1764123814.1975558,35
1764123815.2018523,33
1764123816.205937,32
1764123817.2102842,34
1764123818.2146206,34
1764123819.2190425,33
1764123820.2232552,34
1764123821.2272623,30
1764123822.231504,33
1764123823.2358787,35
1764123824.2403128,35
1764123825.2445168,33
1764123826.2487466,33
1764123827.2530363,34
1764123828.257393,32
1764123829.2615085,32
1764123830.2658365,34
1764123831.2700634,31
1764123832.274023,30
1764123833.27827,31
1764123834.2825556,31
1764123835.2865546,32
1764123836.2907412,31
1764123837.2948627,31
1764123838.2989821,32
1764123839.3032532,31
1764123840.307383,31
1764123841.3114774,32
1764123842.3157573,31
1764123843.3198495,33
1764123844.3239846,30
1764123845.3281677,31
1764123846.3323095,32
1764123847.3364828,32
1764123848.3406222,31
1764123849.3449924,33
1764123850.3493087,33
1764123851.353641,33
1764123852.3577974,32
1764123853.3620424,34
1764123854.3662367,33
1764123855.3705442,33
1764123856.3747861,33
1764123857.3790073,32
1764123858.3832085,32
1764123859.3873959,32
1764123860.3906295,16
1764123861.3948011,32
1764123862.3990536,31
1764123863.403207,31
1764123864.4074426,33
1764123865.411658,32
1764123866.4158692,32
1764123867.4200077,32
1764123868.4241765,32
1764123869.4284508,33
1764123870.4328322,33
1764123871.4369328,32
1764123872.441208,33
1764123873.4445875,16
1764123874.447732,17
1764123875.4510417,17
1764123876.454409,16
1764123877.4585733,33
1764123878.4628892,32
1764123879.4669938,32
1764123880.4712555,33
1764123881.4755454,32
1764123882.479609,33
1764123883.484014,33
1764123884.488201,33
1764123885.4924974,33
1764123886.4967933,33
1764123887.5011468,33
1764123888.5053709,33
1764123889.5096018,33
1764123890.5137827,33
1764123891.5180736,34
1764123892.522168,33
1764123893.5265918,33
1764123894.5306942,32
1764123895.5349526,33
1764123896.5392897,32
1764123897.5434654,32
1764123898.5476046,32
1764123899.5519004,33
1764123900.5560794,32
1764123901.5608816,32
1764123902.5645697,33
1764123903.5688887,33
1764123904.5730984,32
1764123905.577181,32
1764123906.581494,34
1764123907.5858557,33
1764123908.5901318,32
1764123909.5944471,34
1764123910.598595,32
1764123911.6029127,33
1764123912.607602,40
1764123913.612216,40
1764123914.6163838,34
1764123915.6212833,42
1764123916.6256397,35
1764123917.630068,35
1764123918.634489,36
1764123919.6388826,34
1764123920.6431634,35
1764123921.6473153,33
1764123922.6517687,34
1764123923.6560342,33
1764123924.6602993,33
1764123925.6645844,33
1764123926.66873,33
1764123927.6730585,33
1764123928.6772695,33
1764123929.6815333,33
1764123930.685921,33
1764123931.690151,33
1764123932.6944053,33
1764123933.6987476,33
1764123934.7028866,33
1764123935.7071161,33
1764123936.71143,33
1764123937.7157352,32
1764123938.719842,32
1764123939.724046,32
1764123940.7283173,33
1764123941.732599,32
1764123942.7367783,33
1764123943.7409978,33
1764123944.745116,32
1764123945.7493904,33
1764123946.7537487,32
1764123947.7580173,33
1764123948.762207,32
1764123949.766465,33
1764123950.7706916,33
1764123951.7748647,34
1764123952.7792127,34
1764123953.7834241,33
1764123954.7876863,32
1764123955.7918851,32
1764123956.7962253,33
1764123957.8005104,33
1764123958.804676,32
1764123959.8088102,33
1764123960.813028,33
1764123961.8172455,33
1764123962.8215916,33
1764123963.8257077,32
1764123964.8300288,32
1764123965.8342528,33
1764123966.8383224,33
1764123967.8426044,32
1764123968.8469925,33
1764123969.8512878,35
1764123970.8561242,42
1764123971.8607533,40
1764123972.8650947,35
1764123973.8694866,36
1764123974.8737848,34
1764123975.878129,34
1764123976.8824217,32
1764123977.8865035,31
1764123978.8906996,32
1764123979.8948936,33
1764123980.899167,32
1764123981.903402,32
1764123982.9075668,32
1764123983.911797,32
1764123984.9159656,31
1764123985.9201164,32
1764123986.9243307,32
1764123987.9284794,31
1764123988.9327312,32
1764123989.983073,794
1764123990.986151,32
1764123991.9904454,33
1764123992.9937418,16
1764123993.9969568,17
1764123995.0003679,18
1764123996.003959,19
1764123997.0075052,21
1764123998.0121233,39
1764123999.016615,37
1764124000.0209413,35
1764124001.0252423,34
1764124002.0296082,34
1764124003.0339308,35
1764124004.0384119,36
1764124005.0426672,35
1764124006.0471623,35
1764124007.0515153,36
1764124008.0558686,35
1764124009.0603757,35
1764124010.0647628,35
1764124011.0691144,35
1764124012.0735614,36
1764124013.078813,42
1764124014.0828316,37
1764124015.0871968,37
1764124016.0907292,18
1764124017.0949085,32
1764124018.099427,38
1764124019.103861,36
1764124020.1082497,35
1764124021.1127343,35
1764124022.1172338,36
1764124023.1219206,41
1764124024.126351,35
1764124025.1309805,39
1764124026.1353462,35
1764124027.1397297,36
1764124028.1440914,36
1764124029.1487,38
1764124030.153067,35
1764124031.1575096,35
1764124032.161986,37
1764124033.1664083,38
1764124034.1712415,41
1764124035.1756532,38
1764124036.1802545,37
1764124037.1848123,38
1764124038.1892087,37
1764124039.1938891,37
1764124040.1983888,40
1764124041.203029,40
1764124042.2076316,38
1764124043.2121983,37
1764124044.2166915,38
1764124045.2212827,38
1764124046.2257311,37
1764124047.2303774,38
1764124048.2350025,39
1764124049.239511,38
1764124050.243925,37
1764124051.2485077,37
1764124052.2531462,37
1764124053.2576594,39
1764124054.2622354,38
1764124055.2667158,37
1764124056.2713382,38
1764124057.2756636,35
1764124058.280216,37
1764124059.2847428,38
1764124060.2892892,39
1764124061.2940066,40
1764124062.2987356,41
1764124063.3035884,42
1764124064.3082602,40
1764124065.3127437,37
1764124066.3172598,38
1764124067.3228872,56
1764124068.3273776,38
1764124069.332005,39
1764124070.3366442,39
1764124071.3413508,41
1764124072.345948,37
1764124073.3501253,32
1764124074.3542845,31
1764124075.3585756,35
1764124076.3626714,31
1764124077.3680744,50
1764124078.3724756,35
1764124079.3767314,35
1764124080.3811016,34
1764124081.385453,34
1764124082.389556,32
1764124083.3938332,31
1764124084.3979397,30
1764124085.4019885,31
1764124086.406225,32
1764124087.4107506,38
1764124088.4152522,37
1764124089.4196186,34
1764124090.4238377,34
1764124091.4282897,35
1764124092.4325974,33
1764124093.4367785,34
1764124094.4413261,35
1764124095.445706,36
1764124096.449221,22
1764124097.4526303,18
1764124098.4560573,20
1764124099.460386,35
1764124100.4649134,34
1764124101.4696732,43
1764124102.4744701,42
1764124103.4793615,43
1764124104.48401,41
1764124105.4886057,38
1764124106.4931178,39
1764124107.4981208,44
1764124108.5026548,39
1764124109.5075064,43
1764124110.5122623,41
1764124111.5174217,49
1764124112.5230768,55
1764124113.5275838,38
1764124114.5321662,40
1764124115.5369644,39
1764124116.5413914,37
1764124117.5457509,37
1764124118.5504096,37
1764124119.5549657,38
1764124120.5594313,38
1764124121.5629463,20
1764124122.5664876,20
1764124123.5699446,20
1764124124.5734918,22
1764124125.5771968,21
1764124126.5807521,21
1764124127.5843408,22
1764124128.587759,20
1764124129.5923615,37
1764124130.596668,35
1764124131.6010303,35
1764124132.605324,33
1764124133.6095786,34
1764124134.614025,35
1764124135.618231,35
1764124136.6227372,35
1764124137.6271665,35
1764124138.6314473,36
1764124139.6358683,35
1764124140.640308,35
1764124141.644633,35
1764124142.648886,35
1764124143.65358,36
1764124144.6578772,34
1764124145.6622882,36
1764124146.6666157,34
1764124147.6709118,35
1764124148.6751618,34
1764124149.6796377,34
1764124150.6839404,34
1764124151.688291,35
1764124152.6926155,34
1764124153.6970313,35
1764124154.7013018,34
1764124155.705714,35
1764124156.709933,34
1764124157.7143872,35
1764124158.7188172,35
1764124159.7232666,36
1764124160.7276525,34
1764124161.7318661,34
1764124162.7363715,35
1764124163.7405825,35
1764124164.7450018,35
1764124165.7493145,35
1764124166.753692,35
1764124167.7580388,35
1764124168.7624772,35
1764124169.766767,34
1764124170.7711985,35
1764124171.7756436,36
1764124172.7800367,34
1764124173.7843676,34
1764124174.788691,34
1764124175.7928362,34
1764124176.7972484,34
1764124177.8014388,33
1764124178.80584,34
1764124179.8101203,34
1764124180.8145375,34
1764124181.8188279,34
1764124182.823183,35
1764124183.8274083,34
1764124184.8318653,34
1764124185.8361495,35
1764124186.8406713,37
1764124187.8449361,33
1764124188.84931,35
1764124189.8536103,35
1764124190.8578985,35
1764124191.862296,34
1764124192.866855,36
1764124193.8715,40
1764124194.8757737,35
1764124195.8802311,35
1764124196.8845577,33
1764124197.888854,36
1764124198.8935997,38
1764124199.8979716,34
1764124200.9020748,33
1764124201.9064093,33
1764124202.9104698,31
1764124203.9147775,32
1764124204.919077,34
1764124205.9233449,32
